Cell,Pms1,Prrx2,Ets1,Tet2,Crebrf,Gli3,Zhx2,A630089N07Rik,Zfhx4,Pbx3
15_25_31__s4,0.2880406904511888,0.4583784199239015,0.5394516068857355,0.5024513422474883,0.568093244816084,0.4289384961964976,0.6594960619841689,0.2592291220469204,0.530270070123596,0.2571383336886019
13_16_63__s5,0.2712792854892758,0.4743507175529125,0.5819749913262569,0.5268586010325692,0.5246348541084886,0.42847661952829447,0.5864400815786416,0.2468286336215749,0.5154414631855022,0.2519448026031053
15_76_27__s2,0.25835987418553114,0.443460951661021,0.5086172385203833,0.5637349780878006,0.7249175614261295,0.37877669970429106,0.5620586815138241,0.23946001524331814,0.5156411119724257,0.2477593382928594
18_69_53__s6,0.2552654106432806,0.550409289068289,0.5954777185361524,0.5242768183551495,0.6196572192876917,0.43564255476570546,0.6429146126551523,0.22906200302618682,0.5358793754220335,0.24064586709983943
17_08_62__s4,0.2943203364204245,0.41094821467161285,0.5963916820939202,0.5096499075814677,0.48373907644862035,0.4261102512550393,0.6283950814805468,0.258722401593437,0.527731250772638,0.2620611282623708
18_09_55__s2,0.2999811016658609,0.6004854735736239,0.5757036981282372,0.527504302956615,0.5860617888981823,0.5099721705071866,0.5673719486471847,0.2560184487304539,0.5155698095707629,0.26042138844531865
18_93_55__s6,0.4175376418236971,0.37074167246418366,0.5337636191244889,0.424630859870279,0.3773552813937391,0.4875273111056864,0.5469013354030474,0.38285144396891607,0.4428079959045551,0.37222320793448094
15_93_77__s4,0.24473988581744877,0.47368604029490363,0.5310217721191778,0.5443018395232548,0.6335153472972991,0.38534996048279185,0.5746967680639694,0.22378852272315816,0.5272895992020805,0.23234769405660557
18_01_32__s4,0.2718186140358186,0.514765122404818,0.5767239166126134,0.5158615474221216,0.5620391516988391,0.451029527163996,0.6629859278932428,0.24190115516524605,0.5498693707845725,0.24671329949611084
18_67_35__s4,0.29850212830449707,0.4865894543412458,0.6439920604296394,0.5129512984777644,0.6288335893714776,0.4483498198036956,0.5815259939779717,0.2580056498425492,0.5269539672843938,0.271252514872915
13_10_43__s5,0.4918602130759312,0.3532940695758498,0.5858026335436927,0.4550719091586938,0.448311016747867,0.49738404966052024,0.5284785457952637,0.39494252571855193,0.44066652151020647,0.3619441286277728
17_44_60__s7,0.3681378207488526,0.33218556045879677,0.5687464618819729,0.4699543828347763,0.42435198877490155,0.4477979336453552,0.5225402598395987,0.3096430784283644,0.478243117757138,0.29862048948124503
17_91_75__s3,0.461053248290767,0.2627901974621158,0.5278203893217055,0.45115349524587334,0.4512975603970142,0.43313883572291745,0.44270869512993694,0.3794657301118508,0.43367506950751433,0.35252112673198877
